INFO 2014-03-20 14:28:04,468 searchdb 948 140735266841360 connecting to mongodb://localhost:27017/
INFO 2014-03-20 14:28:06,613 app 949 140735266841360 initializing application
INFO 2014-03-20 14:28:06,614 app 949 140735266841360 application is running
INFO 2014-03-20 14:28:06,615 crawler 949 140735266841360 crawling page http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:07,309 searchdb 949 140735266841360 connecting to mongodb://localhost:27017/
INFO 2014-03-20 14:28:07,311 crawler 949 140735266841360 indexing http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,373 crawler 949 140735266841360 link <a accesskey="I" href="../genindex.html" title="General Index">index</a>
INFO 2014-03-20 14:28:08,374 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/genindex.html
INFO 2014-03-20 14:28:08,377 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/genindex.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,387 crawler 949 140735266841360 link <a href="../py-modindex.html" title="Python Module Index">modules</a>
INFO 2014-03-20 14:28:08,387 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/py-modindex.html
INFO 2014-03-20 14:28:08,390 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/py-modindex.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,398 crawler 949 140735266841360 link <a accesskey="N" href="bson/index.html" title="bson – BSON (Binary JSON) Encoding and Decoding">next</a>
INFO 2014-03-20 14:28:08,400 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/bson/index.html
INFO 2014-03-20 14:28:08,402 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/bson/index.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,412 crawler 949 140735266841360 link <a accesskey="P" href="../faq.html" title="Frequently Asked Questions">previous</a>
INFO 2014-03-20 14:28:08,414 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/faq.html
INFO 2014-03-20 14:28:08,424 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/faq.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,432 crawler 949 140735266841360 link <a href="../index.html">PyMongo 2.7rc0 documentation</a>
INFO 2014-03-20 14:28:08,432 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/index.html
INFO 2014-03-20 14:28:08,434 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/index.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,441 crawler 949 140735266841360 link <a class="headerlink" href="#api-documentation" title="Permalink to this headline">¶</a>
INFO 2014-03-20 14:28:08,442 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/index.html#api-documentation
INFO 2014-03-20 14:28:08,447 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/index.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,455 crawler 949 140735266841360 link <a class="reference internal" href="bson/index.html#module-bson" title="bson: BSON (Binary JSON) Encoding and Decoding"><tt class="xref py py-mod docutils literal"><span class="pre">bson</span></tt></a>
INFO 2014-03-20 14:28:08,456 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/bson/index.html#module-bson
INFO 2014-03-20 14:28:08,467 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/bson/index.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,474 crawler 949 140735266841360 link <a class="reference external" href="http://bsonspec.org">BSON format</a>
INFO 2014-03-20 14:28:08,475 crawler 949 140735266841360 href http://bsonspec.org
INFO 2014-03-20 14:28:08,477 crawler 949 140735266841360 add link http://bsonspec.org to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,483 crawler 949 140735266841360 link <a class="reference internal" href="pymongo/index.html#module-pymongo" title="pymongo: Python driver for MongoDB"><tt class="xref py py-mod docutils literal"><span class="pre">pymongo</span></tt></a>
INFO 2014-03-20 14:28:08,484 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/pymongo/index.html#module-pymongo
INFO 2014-03-20 14:28:08,486 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/pymongo/index.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,493 crawler 949 140735266841360 link <a class="reference internal" href="gridfs/index.html#module-gridfs" title="gridfs: Tools for working with GridFS"><tt class="xref py py-mod docutils literal"><span class="pre">gridfs</span></tt></a>
INFO 2014-03-20 14:28:08,494 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/gridfs/index.html#module-gridfs
INFO 2014-03-20 14:28:08,495 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/gridfs/index.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,505 crawler 949 140735266841360 link <a class="reference external" href="http://www.mongodb.org/display/DOCS/GridFS+Specification">GridFS</a>
INFO 2014-03-20 14:28:08,508 crawler 949 140735266841360 href http://www.mongodb.org/display/DOCS/GridFS+Specification
INFO 2014-03-20 14:28:08,511 crawler 949 140735266841360 add link http://www.mongodb.org/display/DOCS/GridFS+Specification to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,518 crawler 949 140735266841360 link <a class="reference internal" href="bson/index.html"><tt class="docutils literal"><span class="pre">bson</span></tt> – BSON (Binary JSON) Encoding and Decoding</a>
INFO 2014-03-20 14:28:08,519 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/bson/index.html
